Net Range,Organization Name,Machines Responding
122.155.160.0 - 122.155.191.255,CAT IDC2 14th floor CAT IDC2 14th floor(This space is statically assigned.),1
186.27.224.0/20,EMPRESAS MUNICIPALES DE CALI E.I.C.E. E.S.P.,1
5.250.248.0 - 5.250.248.255,Aysima Bilisim Teknolojileri,1
38.153.0.0 - 38.153.127.255,B2 Net Solutions Inc.,28
182.52.72.0 - 182.52.105.255,TOT Public Company Limited,1
16.175.0.0 - 16.182.255.255,"Amazon.com, Inc.",18
62.153.150.32 - 62.153.150.47,"Deutsche Telekom AG, Internet service provider",1
104.37.176.0 - 104.37.183.255,NuCDN LLC,3
63.224.0.0 - 63.231.255.255,"CenturyLink Communications, LLC",2
140.210.0.0 - 140.210.255.255,Asia Pacific Network Information Centre,1
43.252.8.0 - 43.252.11.255,Jakarta 11530,1
173.44.242.200 - 173.44.242.207,Mustello LLC,1
93.92.129.96 - 93.92.129.127,internet4YOU-DE-HAM1,1
72.250.208.0 - 72.250.223.255,"JAB Wireless, INC.",1
42.114.176.0 - 42.114.191.255,Vietnam Internet Network Information Center (VNNIC),1
185.228.216.0 - 185.228.217.255,EliteWork LLC,1
122.8.0.0 - 122.8.127.255,"Beijing CNISP Technology Co., Ltd.",3
200.6.96.0/20,Ingeniería e Informática Asociada Ltda (IIA Ltda),1
154.216.47.0 - 154.216.47.255,"Digital Core Technology Co., Ltd",1
142.112.0.0 - 142.127.255.255,Bell Canada,5
45.142.255.0 - 45.142.255.255,LLC Baxet,1
156.244.0.0 - 156.244.255.255,African Network Information Center,39
23.206.32.0 - 23.206.47.255,"Akamai International, BV",9
52.66.0.0 - 52.66.255.255,Amazon Data Services India,9
104.83.128.0 - 104.83.143.255,"Akamai International, BV",4
104.168.77.32 - 104.168.77.63,RackNerd LLC,2
18.138.0.0 - 18.139.255.255,Amazon Data Services Singapore,20
95.101.4.0 - 95.101.7.255,Akamai Technologies,3
91.202.236.0 - 91.202.239.255,Fidessa PLC,1
164.100.0.0 - 164.100.255.255,Asia Pacific Network Information Centre,4
141.19.0.0 - 141.19.255.255,Hochschule Mannheim,1
87.0.0.0 - 87.15.255.255,INTERBUSINESS,2
2.22.192.0 - 2.22.223.255,Akamai Technologies,3
46.101.96.0 - 46.101.127.255,DIGITALOCEAN,5
85.130.0.0 - 85.130.31.255,A1 BG,1
185.179.199.0 - 185.179.199.255,Seldon 2 LLC,1
45.84.227.0 - 45.84.227.255,BEGET.RU,1
45.124.58.0 - 45.124.58.255,DCTV Cable Network,1
36.38.0.0 - 36.39.255.255,LG HelloVision Corp.,1
98.16.0.0 - 98.23.255.255,Windstream Communications LLC,1
170.114.0.0 - 170.114.255.255,"Zoom Video Communications, Inc",5
38.174.64.0 - 38.174.127.255,KURUN CLOUD INC,8
5.240.0.0 - 5.241.255.255,####################################################,1
82.65.82.0 - 82.65.255.255,"Paris, France",3
158.51.60.0 - 158.51.63.255,Tiger Technologies LLC,2
59.120.23.0 - 59.120.23.255,Taipei Taiwan,1
156.225.0.0 - 156.225.255.255,African Network Information Center,9
65.9.0.0 - 65.9.127.255,"Amazon.com, Inc.",28
185.245.30.0 - 185.245.30.255,TeamViewer-DE,1
15.204.211.0 - 15.204.211.255,OVH US LLC,1
178.128.32.0 - 178.128.47.255,DIGITALOCEAN,4
172.80.0.0 - 172.80.127.255,eSited Solutions,6
192.210.128.0 - 192.210.255.255,ColoCrossing,4
87.239.144.0 - 87.239.151.255,SALENAMES LLC,1
209.213.32.0 - 209.213.47.255,Manti Tele Communication Company,1
193.93.12.0 - 193.93.15.255,Science Production Enterprise Solver Ltd,1
180.224.0.0 - 180.231.255.255,LG POWERCOMM,2
50.57.240.0 - 50.57.255.255,"Liquid Web, L.L.C",3
199.75.0.0 - 199.78.255.255,"Level 3 Parent, LLC",1
190.185.104.0/22,PLANISYS S.A.,2
37.194.32.0 - 37.194.39.255,Novotelecom Ltd.,1
212.25.182.0 - 212.25.189.255,Seeweb srl,2
185.201.8.0 - 185.201.9.255,Hostinger International Limited,1
217.147.87.128 - 217.147.87.255,Iomart Hosting Ltd,1
23.91.80.0 - 23.91.95.255,COGECO COMMUNICATIONS INC.,1
27.34.144.0 - 27.34.151.255,KDDI Web Communications Inc.,3
192.161.48.0 - 192.161.63.255,QuadraNet Enterprises LLC,2
107.20.0.0 - 107.23.255.255,"Amazon.com, Inc.",51
218.30.66.0 - 218.30.75.255,China Telecom,1
103.120.204.0 - 103.120.207.255,Sidoarjo 61219,2
85.132.0.0 - 85.132.15.255,AzerSat-Route-85.132.5.0/24,1
198.101.8.0 - 198.101.15.255,Cloud South,3
164.132.8.0 - 164.132.8.127,ORG-JEL4-RIPE Jelastic Inc.,1
5.226.181.0 - 5.226.181.255,HLM-Net,1
133.242.67.0/24,SAKURA Internet Inc.,1
45.150.95.0 - 45.150.95.255,Istqrar For Web Hosting,1
195.231.59.0 - 195.231.59.255,Aruba S.p.A. Network,1
194.97.128.0 - 194.97.159.255,SpaceNet AG,1
162.214.0.0 - 162.215.255.255,Unified Layer,60
166.128.0.0 - 166.255.255.255,Service Provider Corporation,41
134.219.0.0 - 134.222.255.255,RIPE Network Coordination Centre,60
192.155.160.0 - 192.155.191.255,FEDERAL ONLINE GROUP LLC,9
80.11.50.0 - 80.11.50.255,Wanadoo France,1
54.230.0.0 - 54.231.255.255,"Amazon.com, Inc.",55
2.56.108.0 - 2.56.108.255,OMER AY,1
195.114.128.0 - 195.114.128.255,DATAGROUP-ODESSA,1
87.237.127.192 - 87.237.127.255,Germany,1
46.16.216.0 - 46.16.216.95,ic3s ISP Services Netzwork,1
142.34.0.0 - 142.34.255.255,Province of British Columbia,3
35.12.0.0 - 35.12.255.255,Michigan State University,1
192.254.128.0 - 192.254.255.255,WEBSITEWELCOME.COM,9
142.234.120.0 - 142.234.127.255,"Leaseweb USA, Inc.",1
207.60.0.0 - 207.60.63.255,KURUN CLOUD INC,7
103.21.70.0 - 103.21.71.255,NIXI,1
88.83.96.0 - 88.83.127.255,Total Connectivity Providers Ltd,1
111.192.0.0 - 111.207.255.255,China Unicom Beijing Province Network,11
54.188.0.0 - 54.191.255.255,"Amazon.com, Inc.",18
74.192.0.0 - 74.197.255.255,Suddenlink Communications,4
171.116.0.0 - 171.119.255.255,China Unicom shanxi Province Network,1
70.39.232.0 - 70.39.233.255,"InMotion Hosting, Inc.",1
54.193.0.0 - 54.193.255.255,"Amazon.com, Inc.",10
93.46.15.48 - 93.46.15.55,Fastweb Networks block,1
187.212.0.0/16,UNINET,2
168.80.0.0 - 168.81.255.255,African Network Information Center,2
54.198.0.0 - 54.198.255.255,Amazon Data Services NoVa,5
193.254.184.0 - 193.254.190.255,VAUTRON-NET-1,1
192.186.192.0 - 192.186.255.255,"GoDaddy.com, LLC",18
50.118.200.0 - 50.118.201.255,EquiServe Trust,2
213.63.142.0 - 213.63.143.255,"Ar Telecom, Acessos e Redes Telecomunicacoes. S.A.",1
82.220.34.0 - 82.220.34.255,SolNet Switzerland,1
104.221.0.0 - 104.221.127.255,Videotron Ltee,3
72.136.0.0 - 72.143.255.255,Rogers Communications Canada Inc.,12
104.40.0.0 - 104.47.255.255,Microsoft Corporation,23
190.13.128.0/20,Telefonica del Sur S.A.,1
71.64.0.0 - 71.79.255.255,Charter Communications Inc,14
37.210.128.1 - 37.210.255.254,Ooredoo-MBB,2
199.46.32.0 - 199.46.63.255,"Akamai Technologies, Inc.",2
91.227.56.0 - 91.227.59.255,INFOPLUS S.C.,1
157.254.232.0 - 157.254.239.255,IPXO LLC,2
209.74.104.0 - 209.74.111.255,Rebel Hosting,1
203.30.164.0 - 203.30.165.255,Nexon Asia Pacific Pty Ltd,1
192.171.96.0 - 192.171.103.255,"Datto, Inc",3
202.52.38.0 - 202.52.38.255,MORSE,1
45.220.17.0 - 45.220.17.255,Level 7 Wireless (Pty) Ltd,1
45.38.0.0 - 45.39.255.255,EGIHosting,61
109.239.48.0 - 109.239.48.255,GD MASS Network,1
13.209.0.0 - 13.209.255.255,AWS Asia Pacific (Seoul) Region,3
24.177.48.0 - 24.177.63.255,Charter Communications,1
173.0.8.0 - 173.0.11.255,Tier.Net Technologies LLC,1
177.104.16.0/20,INETSAFE COMERCIO DE EQUIPAMENTOS ELETRONICOS LTDA,1
103.255.100.0 - 103.255.103.255,Route Object,1
212.41.23.0 - 212.41.23.255,Selectel Route Object,1
81.130.96.0 - 81.130.111.255,BT Public Internet Service,1
142.0.208.0 - 142.0.223.255,SpeedyQuick Networks Inc,1
189.11.124.120/29,Frigor�fico S�o Miguel Ltda.,1
188.119.155.0 - 188.119.155.255,essensys Ltd,1
51.140.0.0 - 51.145.255.255,Microsoft Limited,15
109.205.61.0 - 109.205.61.255,Prinode AB,1
217.21.64.0 - 217.21.67.255,Hostinger International Limited,1
82.156.0.0 - 82.157.255.255,IPv4 address block not managed by the RIPE NCC,5
199.116.232.0 - 199.116.235.255,Cybera Inc,1
193.107.216.0 - 193.107.219.255,IPv4 Superhub Limited,2
185.5.124.0 - 185.5.127.255,ASPA CLOUD SL,1
3.108.0.0 - 3.111.255.255,Amazon Data Services India,29
86.216.80.0 - 86.216.87.255,France Telecom IP2000-ADSL-BAS,1
89.44.138.0 - 89.44.138.255,RO-MXHOST,1
50.24.0.0 - 50.27.255.255,Suddenlink Communications,1
69.88.136.0 - 69.88.155.255,Unitas Global,1
85.14.37.0 - 85.14.37.255,MRRB-NET,1
68.113.192.0 - 68.113.223.255,Charter Communications,5
69.39.224.0 - 69.39.239.255,GigeNET,2
86.26.247.0 - 86.26.247.255,GLENGORMLEY,1
107.186.0.0 - 107.187.255.255,EGIHosting,42
176.26.0.0 - 176.27.255.255,Sky Broadband,1
95.86.64.1 - 95.86.127.254,Internet Rimon LTD,9
72.10.160.0 - 72.10.175.255,GloboTech Communications,4
153.122.172.0 - 153.122.175.255,"DIX Co., Ltd.",1
46.41.160.0 - 46.41.191.255,home.pl network,3
13.112.0.0 - 13.115.255.255,Amazon Data Services Japan,39
96.32.0.0 - 96.42.255.255,Charter Communications,9
192.249.112.0 - 192.249.127.255,"InMotion Hosting, Inc.",3
66.209.176.0 - 66.209.191.255,Canhost Inc.,1
141.98.166.0 - 141.98.167.255,DediPath,1
24.231.128.0 - 24.231.143.255,Charter Communications,1
81.19.140.0 - 81.19.140.255,GLOBAL INTERNET SOLUTIONS LLC,1
194.97.118.128 - 194.97.118.135,Germany,1
93.100.0.0 - 93.100.127.255,SkyNet Networks,1
104.206.137.96 - 104.206.137.127,xorbyte.com,1
156.255.0.0 - 156.255.255.255,African Network Information Center,19
117.235.0.0 - 117.235.255.255,BSNL Internet,2
64.62.128.0 - 64.62.255.255,Hurricane Electric LLC,13
93.92.232.0 - 93.92.235.255,EFOR-MADRID,1
83.166.157.0 - 83.166.157.255,Infomaniak Network Management,1
107.182.16.0 - 107.182.31.255,Cluster Logic Inc,2
78.186.113.0 - 78.186.138.255,TurkTelecom,1
171.224.0.0 - 171.255.255.255,VIETTEL-VN,16
23.95.214.0 - 23.95.214.255,RackNerd LLC,1
162.216.16.0 - 162.216.19.255,Linode,1
174.127.128.0 - 174.127.255.255,Wave Broadband,1
213.184.48.0 - 213.184.51.255,Riigivork IPv4,1
122.252.128.0 - 122.252.143.255,"Akamai Technologies, Inc.",6
109.235.78.0 - 109.235.78.255,Cyso Hosting B.V. Block,1
176.113.144.0 - 176.113.159.255,FOP Bilenkiy Olexander Naumovich,1
35.160.0.0 - 35.167.255.255,"Amazon.com, Inc.",60
170.133.128.0 - 170.133.191.255,Cisco Webex LLC,2
52.132.0.0 - 52.143.255.255,Microsoft Corporation,14
124.248.154.64 - 124.248.154.127,K-1 Enterprise,1
45.137.202.0 - 45.137.202.255,SugarHosts,1
185.27.132.0 - 185.27.135.255,I FastNet LTD,1
190.72.0.0/14,"CANTV Servicios, Venezuela",9
103.41.247.0 - 103.41.247.255,"Bandung, Jawa Barat",1
146.88.160.0 - 146.88.175.255,Asia Pacific Network Information Centre,1
203.88.108.0 - 203.88.111.255,TALENT LINK GROUP LIMITED,4
218.234.31.0 - 218.234.31.255 (/24),SK Broadband Co Ltd,1
46.51.192.0 - 46.51.207.255,"Amazon Web Services, Elastic Compute Cloud, EC2, EU",1
66.215.0.0 - 66.215.31.255,Charter Communications,1
47.132.0.0 - 47.135.255.255,Charter Communications,14
89.8.0.0 - 89.9.255.255,Telia Norge AS,6
18.196.0.0 - 18.197.255.255,A100 ROW GmbH,13
156.239.0.0 - 156.239.255.255,African Network Information Center,2
154.213.72.0 - 154.213.72.255,Longteng Network,1
173.244.32.0 - 173.244.63.255,LogicWeb Inc.,2
193.237.0.0 - 193.237.31.255,Vodafone Broadband,1
23.60.16.0 - 23.60.31.255,"Akamai International, BV",4
63.247.128.0 - 63.247.143.255,DNS Services,5
185.57.119.0 - 185.57.119.255,Vmotion PA route,1
103.30.116.0 - 103.30.119.255,Railtel,2
68.116.192.0 - 68.116.207.255,Charter Communications,2
45.129.126.0 - 45.129.126.255,DE-RAPIDSEEDBOX-20190313,1
208.85.188.0 - 208.85.191.255,"Prominic.NET, Inc.",1
109.201.160.0 - 109.201.175.255,MEGALINE-NET-WIFI,1
104.82.224.0 - 104.82.239.255,"Akamai International, BV",3
135.148.59.64 - 135.148.59.127,OVH US LLC,1
199.96.0.0 - 199.96.9.255,"Levi, Ray & Shoup, Inc.",1
59.20.153.0 - 59.20.153.255 (/24),KT,1
220.158.252.0 - 220.158.255.255,RICH TIMER INDUSTRIAL LIMITED,1
199.193.224.0 - 199.193.227.255,DM VENTURES INC,1
95.168.210.128 - 95.168.210.255,SuperNetwork s.r.o.,1
62.152.36.0 - 62.152.36.255,FILANCO-SPB-LLC,1
13.250.0.0 - 13.251.255.255,Amazon Data Services Singapore,12
108.61.221.0 - 108.61.221.255,"Vultr Holdings, LLC",1
24.106.0.0 - 24.106.63.255,Charter Communications Inc,1
223.255.224.0 - 223.255.231.255,Jakarta Selatan,1
187.250.0.0/16,"Telefonos del Noroeste, S.A. de C.V.",1
38.152.0.0 - 38.152.127.255,B2 Net Solutions Inc.,16
213.148.72.0 - 213.148.79.255,TEB Bank Route Object-9,2
125.128.199.0 - 125.128.199.127 (/25),Korea Telecom,1
62.244.1.0 - 62.244.1.255,Vrenatov,1
54.240.128.0 - 54.240.191.255,A100 US LLC,7
23.65.192.0 - 23.65.207.255,"Akamai International, BV",8
218.28.0.0 - 218.29.255.255,CNC Group CHINA169 Henan Province Network,1
118.128.0.0 - 118.131.255.255,LG DACOM Corporation,6
173.232.64.0 - 173.232.67.255,Direct Specials Today,2
1.188.0.0 - 1.191.255.255,China Unicom Heilongjiang Province Network,1
154.208.147.0 - 154.208.147.255,"CLOUD NETWORK HK CO., LIMITED",1
153.121.58.0 - 153.121.58.255,SAKURA Internet Inc.,1
154.210.171.0 - 154.210.171.255,ICIDC Limited,1
194.232.0.0 - 194.232.255.255,APA-IT Informations Technologie G.m.b.H,2
157.52.128.0 - 157.52.255.255,LayerHost,10
154.213.34.0 - 154.213.34.255,"Digital Core Technology Co., Ltd",1
212.2.121.0 - 212.2.121.255,Polkomtel Sp. z o.o.,1
195.133.56.0 - 195.133.57.255,Baxet,1
63.251.16.0 - 63.251.85.255,Unitas Global,1
202.151.64.0 - 202.151.95.255,TeleGuam Holdings,1
46.254.32.0 - 46.254.35.255,Serverplan s.r.l.,1
130.176.0.0 - 130.176.255.255,"Amazon.com, Inc.",1
52.16.0.0 - 52.19.255.255,Amazon Data Services Ireland Limited,37
201.20.0.0/19,EQUINIX BRASIL,1
71.19.208.0 - 71.19.223.255,Twin Valley Communications Inc,1
118.107.0.0 - 118.107.15.255,RACKIP CONSULTANCY PTE. LTD.,1
81.191.152.0 - 81.191.155.255,GLOBALCONNECT-NO-ROUTE,1
104.153.148.0 - 104.153.151.255,"Fork Networking, LLC",4
112.162.182.64 - 112.162.182.127 (/26),Korea Telecom,1
74.128.0.0 - 74.143.255.255,Charter Communications Inc,28
194.99.158.0 - 194.99.158.255,Gorev Turizm Tasimacilik Reklam Gida Tarim Insaat Sanayi Ticaret Ltd. Sti.,1
65.89.208.0 - 65.89.209.255,IIR,1
154.85.205.0 - 154.85.205.255,DXTL HK,1
216.21.192.0 - 216.21.207.255,"COASTAL TELCO SERVICES, INC.",3
18.228.0.0 - 18.228.255.255,Amazon Data Services Brazil,6
159.135.48.0 - 159.135.63.255,"Liquid Web, L.L.C",4
108.177.244.0 - 108.177.247.255,"LeaseWeb USA, Inc. Seattle",3
45.67.36.0 - 45.67.36.255,Awesome Projects S.R.L,1
142.181.0.0 - 142.181.255.255,Bell Canada,4
173.212.192.0 - 173.212.255.255,RIPE Network Coordination Centre,8
68.183.0.0 - 68.183.255.255,"DigitalOcean, LLC",42
190.49.0.0/16,Telefonica de Argentina,1
206.84.0.0 - 206.85.255.255,AGIS,2
193.55.94.0 - 193.55.94.255,FRANCE,1
199.42.0.0 - 199.42.102.255,DXC US Latin America Corporation,1
92.123.240.0 - 92.123.243.255,Akamai Technologies,1
154.197.128.0 - 154.197.128.255,"Shenzhen Jizhan Technology Co., Ltd.",1
62.60.184.0 - 62.60.187.255,MM500-NET,1
194.93.36.0 - 194.93.37.255,EliteWork LLC,1
45.200.194.0 - 45.200.194.255,LuoGeLang (France) Limited,1
188.141.0.0 - 188.141.123.255,NTL Ireland,1
75.146.64.0 - 75.146.79.255,"Comcast Cable Communications, LLC",1
82.66.212.0 - 82.66.213.255,"Paris, France",1
91.185.80.0 - 91.185.95.255,Russia,1
75.134.0.0 - 75.134.15.255,Charter Communications,1
100.24.0.0 - 100.31.255.255,Amazon Data Services NoVa,36
193.58.164.0 - 193.58.167.255,web-crossing GmbH,1
195.242.130.0 - 195.242.131.255,e-studio ApS,1
222.75.32.0 - 222.75.51.255,yinchuan XC node adsl ip pool,1
141.94.20.0 - 141.94.23.255,OVH SAS,1
118.190.0.0 - 118.190.255.255,"Alibaba (US) Technology Co., Ltd.",8
103.28.212.0 - 103.28.215.255,shanghai wexchange network technology Co. Ltd.,2
185.146.144.0 - 185.146.147.255,Niko Net Com Ltd.,1
115.231.48.0 - 115.231.63.255,Zhejiang Telecom,1
104.225.216.0 - 104.225.223.255,"Strasmore, Inc.",1
90.255.250.0 - 90.255.250.255,Vodafone,1
217.110.200.192 - 217.110.200.255,COLT,1
176.215.168.0 - 176.215.175.255,"JSC ""ER-Telecom Holding"" Ryazan' Branch",1
178.23.32.0 - 178.23.39.255,TRINAPS SAS,1
113.20.48.0 - 113.20.51.255,TeleNet,3
54.39.38.0 - 54.39.38.255,"OVH Hosting, Inc.",1
18.163.0.0 - 18.163.255.255,Amazon Data Services Hong Kong,6
91.193.106.0 - 91.193.107.255,Axess OnLine SARL,1
207.207.0.0 - 207.207.63.255,"SWITCH, LTD",1
154.213.47.0 - 154.213.47.255,"Digital Core Technology Co., Ltd",3
121.36.0.0 - 121.36.255.255,"Shenzhen,Guangdong Province, 518129 P.R.China",3
107.174.218.0 - 107.174.218.255,RackNerd LLC,1
175.248.162.0 - 175.248.162.255 (/24),Korea Telecom,1
198.148.121.0 - 198.148.124.239,MULTACOM CORPORATION,1
173.165.0.0 - 173.165.127.255,"Comcast Cable Communications, LLC",1
92.108.0.0 - 92.109.255.255,VODAFONE_ZIGGO,2
156.238.0.0 - 156.238.255.255,African Network Information Center,8
104.94.108.0 - 104.94.111.255,"Akamai International, BV",2
23.66.16.0 - 23.66.31.255,"Akamai International, BV",5
206.172.0.0 - 206.172.255.255,Bell Canada,1
155.94.128.0 - 155.94.255.255,QuadraNet Enterprises LLC,8
201.131.188.0/22,ITELSEK S.A.S.,1
193.138.107.0 - 193.138.107.255,Standard Life Employee Services Ltd.,1
211.49.33.0 - 211.49.33.255 (/24),SK Broadband Co Ltd,1
52.194.0.0 - 52.195.255.255,Amazon Data Services Japan,12
16.62.0.0 - 16.63.255.255,Amazon Data Services Switzerland,2
92.223.32.0 - 92.223.35.255,EdgeCenter LLC,1
66.206.0.0 - 66.206.31.255,"HIVELOCITY, Inc.",2
52.68.0.0 - 52.69.255.255,Amazon Data Services Japan,20
51.159.0.0 - 51.159.255.255,Scaleway,7
219.100.168.0/22,KDDI Web Communications Inc.,1
146.112.0.0 - 146.112.255.255,RIPE Network Coordination Centre,4
24.92.144.0 - 24.92.151.255,KARIB-CABLE-KELCOM-INTERNATIONAL-SLU,1
67.43.0.0 - 67.43.15.255,"Liquid Web, L.L.C",2
212.235.40.0 - 212.235.40.255,Israel,1
154.198.203.0 - 154.198.203.255,CenturyNetworks LTD,1
192.99.0.0 - 192.99.255.255,"OVH Hosting, Inc.",18
216.247.96.0 - 216.247.111.255,IPXO LLC,3
181.136.0.0/13,EPM Telecomunicaciones S.A. E.S.P.,5
209.106.0.0 - 209.106.255.255,University of Missouri - dba the Missouri Research and Education Network (MOREnet),1
45.159.34.0 - 45.159.34.255,Mauve Mailorder Software Verwaltung GmbH,1
23.40.208.0 - 23.40.223.255,"Akamai International, BV",4
220.89.17.0 - 220.89.17.127 (/25),KT,1
136.0.0.0 - 136.0.255.255,EGIHosting,13
91.208.250.0 - 91.208.250.255,PLatan Park 1 Leasing Sp. z o.o.,1
89.161.128.0 - 89.161.191.255,home.pl network,6
2.20.64.0 - 2.20.79.255,Akamai Technologies,1
31.223.51.0 - 31.223.51.255,TurkNet Iletisim Hizmetleri A.S,1
23.39.64.0 - 23.39.79.255,"Akamai International, BV",7
87.226.23.0 - 87.226.23.255,Interneta Pasaule SIA,1
23.24.192.0 - 23.24.223.255,"Comcast Cable Communications, LLC",1
122.252.136.0 - 122.252.143.255,This route object is for AKAMAI,4
109.28.0.0 - 109.31.255.0,LDCOM-NET,1
92.249.60.0 - 92.249.63.255,Hop Bilisim Teknolojileri Anonim Sirketi,1
92.200.0.0 - 92.201.127.255,Plusnet GmbH,2
76.8.32.0 - 76.8.47.255,Telebermuda International Limited,1
52.80.0.0 - 52.83.255.255,Asia Pacific Network Information Centre,3
188.132.198.0 - 188.132.198.255,HOSTING DUNYAM BILISIM TEKNOLOJILERI TIC. LTD. STI.,1
103.169.111.0 - 103.169.111.255,Bekasi 17550,1
154.215.73.0 - 154.215.73.255,Starbow Ltd,1
8.0.0.0 - 8.127.255.255,"Level 3 Parent, LLC",14
185.87.197.0 - 185.87.197.255,Shared website hosting in Digital Hub,1
95.168.192.0 - 95.168.223.255,SH.cz s.r.o.,1
66.85.128.0 - 66.85.191.255,SECURED SERVERS LLC,4
92.244.38.0 - 92.244.38.255,Poland,1
192.173.192.0 - 192.173.255.255,NetNet,5
23.10.64.0 - 23.10.79.255,"Akamai International, BV",2
66.113.128.0 - 66.113.255.255,"Ntirety, Inc.",6
139.151.0.0 - 139.151.255.255,Merced County Information Systems,1
198.12.64.0 - 198.12.127.255,ColoCrossing,2
171.33.64.0 - 171.33.127.255,Outscale SASU,1
203.161.32.0 - 203.161.63.255,Transferred to the ARIN region on 2022-03-01T09:43:00Z.,5
50.73.16.0 - 50.73.31.255,"Comcast Cable Communications, LLC",1
49.254.0.0 - 49.254.255.255,HAIonNet,2
77.174.0.0 - 77.174.255.255,KPN B.V.,1
118.126.64.0 - 118.126.127.255,Shenzhen Tencent Computer Systems Company Limited,1
192.99.54.0 - 192.99.55.255,"OVH Hosting, Inc.",2
23.44.104.0 - 23.44.107.255,"Akamai International, BV",4
179.51.80.0/20,Cooperativa Telefónica Pinamar Ltda.,5
185.116.240.33 - 185.116.240.62,Surfsafe Norway Limited,1
40.64.0.0 - 40.71.255.255,Microsoft Corporation,13
5.189.128.0 - 5.189.143.255,Contabo GmbH,2
178.76.184.0 - 178.76.185.255,TKS Telepost Kabel-Service Kaiserslautern GmbH & Co. KG,1
103.198.172.0 - 103.198.175.255,route for 103.198.172.0/24,1
211.42.0.0 - 211.42.63.255 (/18),DACOM-PUBNETPLUS,3
173.198.192.0 - 173.198.255.255,Turnkey Internet Inc.,7
199.33.68.0 - 199.33.71.255,"Overplay, Inc",1
41.60.64.0 - 41.60.95.255,Liquid Telecommunications Operations Limited,1
149.235.0.0 - 149.235.15.255,OPEN TEXT CORPORATION,2
54.252.0.0 - 54.252.255.255,"Amazon.com, Inc.",4
103.51.222.0 - 103.51.223.255,ASA GALAXY INTERNET SERVICES PVT. LTD.,1
91.241.180.0 - 91.241.183.255,Auction LLC,1
18.194.0.0 - 18.195.255.255,A100 ROW GmbH,29
172.248.0.0 - 172.251.255.255,Charter Communications Inc,5
158.69.0.0 - 158.69.255.255,"OVH Hosting, Inc.",11
185.51.2.67 - 185.51.2.67,MissDomain Group AB,1
86.206.96.0 - 86.206.103.255,France Telecom,1
122.112.128.0 - 122.112.255.255,"Shenzhen,Guangdong Province, 518129 P.R.China",5
197.144.0.0 - 197.144.255.255,Provider 36884 Wana Corporate,3
186.179.32.0/21,computer company,3
194.246.128.0 - 194.246.255.255,"Landeshauptstadt Muenchen, it@M",2
212.35.200.216 - 212.35.206.191,Seeweb s.r.l.,1
130.76.0.0 - 130.76.255.255,The Boeing Company,1
185.26.170.0 - 185.26.171.255,"OOO PKF ""Delta Telekom""",1
118.16.0.0 - 118.16.127.255,"NTT DOCOMO,INC.",1
81.19.208.0 - 81.19.223.255,Hydra Communications Ltd,1
198.244.128.0 - 198.244.255.255,RIPE Network Coordination Centre,12
51.107.0.0 - 51.107.255.255,Microsoft Limited,1
39.112.0.0 - 39.127.255.255,SK Broadband Co Ltd,3
65.21.0.0 - 65.21.255.255,RIPE Network Coordination Centre,20
23.236.128.0 - 23.236.255.255,B2 Net Solutions Inc.,2
210.204.221.0 - 210.204.221.255 (/24),Korea Telecom,1
174.138.176.0 - 174.138.191.255,"Interserver, Inc",3
107.189.0.0 - 107.189.7.255,BuyVM,2
2.19.64.0 - 2.19.79.255,Akamai Technologies,3
23.108.128.0 - 23.108.159.255,"LeaseWeb USA, Inc. Seattle",2
45.61.192.0 - 45.61.255.255,"AZURE TECHNOLOGY CO., LIMITED",8
84.238.222.0 - 84.238.223.255,BG-MEDICOM,1
2.39.0.0 - 2.39.255.255,IP addresses assigned to VF DSL customers,1
118.11.0.0 - 118.11.127.255,Open Computer Network,1
78.39.61.128 - 78.39.61.255,Information Technology Company (ITC),1
95.110.128.0 - 95.110.255.255,Aruba S.p.A.,1
160.181.0.0 - 160.181.255.255,African Network Information Center,6
143.244.128.0 - 143.244.255.255,"DigitalOcean, LLC",15
220.181.0.0 - 220.181.255.255,Beijing 100032,3
23.43.16.0 - 23.43.31.255,"Akamai International, BV",6
96.30.0.0 - 96.30.63.255,"Liquid Web, L.L.C",3
12.177.80.0 - 12.177.95.255,"AT&T Services, Inc.",2
129.226.0.0 - 129.226.255.255,Asia Pacific Network Information Centre,5
104.103.240.0 - 104.103.255.255,"Akamai International, BV",7
103.13.48.0 - 103.13.51.255,Speedy Group Corporation Limited,1
199.187.210.0 - 199.187.210.255,Total Server Solutions L.L.C.,1
209.67.132.0 - 209.67.135.255,"Blackbaud, Inc.",1
189.165.74.0/24,Gestión de direccionamiento UniNet,1
211.243.99.0 - 211.243.99.255 (/24),SK Broadband Co Ltd,1
146.20.0.0 - 146.20.255.255,Rackspace Hosting,7
195.15.224.0 - 195.15.255.255,Infomaniak Network Management,1
51.68.44.0 - 51.68.47.255,OVH SAS,1
159.135.0.0 - 159.135.47.255,"Liquid Web, L.L.C",11
130.68.0.0 - 130.68.255.255,Montclair State University,1
64.135.0.0 - 64.135.127.255,"BroadbandONE, LLC",5
67.60.0.0 - 67.61.255.255,"CABLE ONE, INC.",2
68.186.144.0 - 68.186.151.255,Charter Communications,1
54.90.0.0 - 54.91.255.255,Amazon Data Services NoVa,14
96.28.0.0 - 96.29.255.255,Charter Communications Inc,4
89.213.128.0 - 89.213.191.255,IPXO,1
